Year,1,2,3,4
2000,0.019145146927871837,0.01629532546963741,0.018183381335167503,0.015409946804019192
2001,0.02465593946197675,0.016758643077422475,0.015524603903100953,0.012418454766957465
2002,0.014362238956602713,0.01702893004745132,0.019829175602965154,0.01416765053128688
2003,0.012187136204889537,0.012184164180713664,0.015410837298487134,0.028325639949643433
2004,0.01564306604094412,0.02440902698720948,0.03814348749795715,0.02134626282979646
2005,0.022965474722564938,0.03194214253427741,0.0301941889326911,0.022648034241333326
2006,0.015826819668496084,0.010232202788616362,0.008210890233361967,0.01026039434204895
2007,0.003738962106547117,-0.0006868857656133764,-0.011235658013006966,-0.003154995855725762
2008,-0.007295550250784433,-0.02531679770878925,-0.03151854521261854,-0.009273835761513638
2009,0.00739606506225976,-0.02641314634775871,-0.026304936962413095,-0.007593404931175329
2010,-0.012010730398731906,-0.009009564949089888,0.009527367831122735,-0.007247717739945814
2011,-0.027587063903818043,-0.01741158429443146,0.007315645727662856,0.004422065136696629
2012,-0.010604794652612659,-0.004222424321164153,0.012916693848261662,0.007986088748631381
2013,0.005207334994568935,0.015572858731924377,0.015521827570020186,0.008166158207759455
2014,0.00880303215552014,0.01908859532177898,0.01436046857346751,0.008353606706333894
2015,0.01014475902563805,0.017208137895312392,0.015247956094939008,0.008805171645118293
2016,0.009170257430118234,0.019296036785636073,0.017856663354904434,0.00910146151005109
2017,0.008679511646754401,0.024518570354819635,0.016898985554909096,0.009602706669651795
2018,0.01478451568390704,0.02236359662967735,0.014915447463423881,0.005944023214452976
2019,0.01098031917368436,0.018707717796493162,0.0116554855322899,0.008439949092370558
